workflow_id,status,anomaly_score
3469,ALERT,8.7824
3506,ALERT,130.5849
3433,ALERT,85.8049
3957,ALERT,89.9525
3582,ALERT,149.1826
3835,ALERT,33.5426
3906,ALERT,30.6264
3459,ALERT,5.7512
3683,ALERT,26.2579
3868,ALERT,6.1529
3412,ALERT,88.9303
3565,ALERT,49.4587
3673,ALERT,9.816
3797,ALERT,58.6152
3669,ALERT,150.9619
3620,ALERT,3.5144
3716,ALERT,85.6466
3676,ALERT,158.0012
3893,ALERT,26.1695
3622,ALERT,199.631
3926,ALERT,175.5607
3988,ALERT,98.882
3798,ALERT,138.6033
3960,ALERT,136.0383
3886,ALERT,234.3301
3804,ALERT,209.7902
3354,ALERT,0.456
3524,ALERT,143.3254
3938,ALERT,78.7547
3750,ALERT,40.2677
3813,ALERT,40.4354
3685,ALERT,125.4882
3751,ALERT,139.3115
3601,ALERT,54.6623
3407,ALERT,129.7042
3915,ALERT,46.5201
3678,ALERT,29.9886
3943,ALERT,95.2808
3581,ALERT,60.7781
3420,ALERT,92.4693
3905,ALERT,28.482
3624,ALERT,94.2537
3635,ALERT,101.6764
3546,ALERT,38.8851
3950,ALERT,147.3575
3496,ALERT,18.5093
3833,ALERT,88.4748
3931,ALERT,61.1365
3880,ALERT,13.3765
3480,ALERT,142.9132
3932,ALERT,93.1855
3549,ALERT,17.8088
3626,ALERT,86.5859
3476,ALERT,126.9292
3696,ALERT,159.3278
3803,ALERT,62.8205
3809,ALERT,55.4993
3978,ALERT,172.6255
3504,ALERT,48.2064
3659,ALERT,18.4686
3628,ALERT,74.3373
3689,ALERT,139.3973
3580,ALERT,77.9862
3516,ALERT,8.4907
3884,ALERT,78.4471
3652,ALERT,151.3618
3911,ALERT,6.5714
3966,ALERT,32.5254
3967,ALERT,75.2509
3435,ALERT,80.7135
3639,ALERT,102.1895
3502,ALERT,62.0084
3737,ALERT,4.2081
3882,ALERT,76.2006
3402,ALERT,87.8754
3657,ALERT,112.6694
3634,ALERT,36.8338
3560,ALERT,89.0048
3617,ALERT,212.9118
3945,ALERT,55.9858
3832,ALERT,97.0382
3539,ALERT,103.5242
3537,ALERT,24.6959
3431,ALERT,113.9905
3970,ALERT,108.5784
3940,ALERT,67.9261
3660,ALERT,84.2639
3475,ALERT,81.3775
3478,ALERT,5.4362
3426,ALERT,113.6551
3854,ALERT,118.2824
3418,ALERT,113.9725
2114,ALERT,0.4748
3976,ALERT,51.705
3481,ALERT,77.7207
3448,ALERT,33.6638
3465,ALERT,25.3433
3490,ALERT,1.9411
3641,ALERT,13.5249
3667,ALERT,104.3934
3951,ALERT,18.3716
3488,ALERT,176.6823
3646,ALERT,13.6152
3456,ALERT,11.582
3997,ALERT,95.7234
3493,ALERT,156.1798
3512,ALERT,8.4161
3836,ALERT,90.0435
3744,ALERT,1.4083
3927,ALERT,47.0325
3485,ALERT,67.4343
3428,ALERT,78.8145
3717,ALERT,78.5015
3749,ALERT,187.6083
3682,ALERT,30.827
3892,ALERT,164.68
3856,ALERT,67.1913
3743,ALERT,201.7021
3782,ALERT,97.6607
3425,ALERT,16.8501
3953,ALERT,102.5483
3629,ALERT,21.5076
3980,ALERT,144.724
3695,ALERT,106.6856
3902,ALERT,82.503
3511,ALERT,2.5426
3545,ALERT,73.9017
3796,ALERT,118.8891
3411,ALERT,62.3519
3859,ALERT,39.3763
3862,ALERT,19.6448
3675,ALERT,224.7454
3619,ALERT,86.782
3406,ALERT,38.8129
3621,ALERT,8.6562
3505,ALERT,203.6562
3515,ALERT,12.5646
3962,ALERT,3.3672
3852,ALERT,104.5105
3756,ALERT,115.9586
3520,ALERT,141.4793
3529,ALERT,115.791
3455,ALERT,217.5088
3567,ALERT,34.9405
3875,ALERT,165.5567
3916,ALERT,41.1532
3452,ALERT,87.4807
3419,ALERT,128.4935
3788,ALERT,193.4589
3444,ALERT,37.175
3588,ALERT,92.5787
3661,ALERT,1.0445
3648,ALERT,22.5687
3720,ALERT,16.8327
3760,ALERT,21.4683
3925,ALERT,74.7819
3422,ALERT,18.6277
3823,ALERT,61.5375
3440,ALERT,21.5913
3414,ALERT,1.4877
3922,ALERT,130.1701
3879,ALERT,85.2935
3753,ALERT,72.046
3919,ALERT,101.7331
3718,ALERT,220.8939
2989,ALERT,0.4438
3904,ALERT,42.342
3618,ALERT,38.4835
3848,ALERT,162.5415
3439,ALERT,99.1326
3557,ALERT,28.7009
3593,ALERT,61.2493
3460,ALERT,10.224
3559,ALERT,21.9719
3849,ALERT,2.7356
3961,ALERT,36.4838
3735,ALERT,138.3609
3815,ALERT,165.3458
3874,ALERT,111.8636
3613,ALERT,12.888
3703,ALERT,20.8078
3872,ALERT,72.4869
3597,ALERT,30.7796
3522,ALERT,215.2357
3808,ALERT,32.6896
2781,ALERT,0.4374
3855,ALERT,173.8008
3986,ALERT,62.0707
3878,ALERT,1.3214
3779,ALERT,152.6762
3424,ALERT,123.7591
3533,ALERT,113.7117
3650,ALERT,150.1017
3998,ALERT,144.7374
3819,ALERT,107.7064
3789,ALERT,18.9786
3566,ALERT,210.3401
3690,ALERT,134.0846
3591,ALERT,45.8461
3568,ALERT,237.0752
3738,ALERT,56.5273
3712,ALERT,67.9612
3421,ALERT,69.3879
3992,ALERT,8.367
3934,ALERT,26.1761
3901,ALERT,21.2093
3708,ALERT,86.4366
3907,ALERT,19.5262
3876,ALERT,34.2476
3616,ALERT,14.4284
3707,ALERT,118.2483
3677,ALERT,75.5829
3599,ALERT,19.7391
3570,ALERT,14.2775
3442,ALERT,109.225
4000,ALERT,40.4212
3898,ALERT,48.9824
3924,ALERT,42.8793
3401,ALERT,12.626
3761,ALERT,83.1012
3969,ALERT,67.8192
3405,ALERT,64.8344
3867,ALERT,145.4572
3928,ALERT,92.573
3888,ALERT,12.1155
3990,ALERT,4.0824
3541,ALERT,27.0928
3468,ALERT,53.6752
3952,ALERT,30.4882
3877,ALERT,30.3304
3985,ALERT,53.0036
3721,ALERT,106.514
3583,ALERT,69.245
3831,ALERT,88.0194
3860,ALERT,25.2996
3734,ALERT,91.6252
3896,ALERT,78.5415
3625,ALERT,91.3723
3746,ALERT,60.7213
3766,ALERT,206.298
3757,ALERT,21.8011
3923,ALERT,37.6253
3829,ALERT,41.9853
3732,ALERT,50.5257
3759,ALERT,113.994
3913,ALERT,114.3744
3912,ALERT,120.3947
3895,ALERT,2.7492
3666,ALERT,117.1085
3423,ALERT,207.8819
3466,ALERT,116.1384
3908,ALERT,72.3341
3726,ALERT,109.7542
3415,ALERT,194.0686
3897,ALERT,105.7444
3958,ALERT,71.7147
3946,ALERT,28.9202
3883,ALERT,157.1296
3457,ALERT,53.0656
3503,ALERT,9.3157
3615,ALERT,160.5362
3552,ALERT,25.7098
3847,ALERT,75.6499
3863,ALERT,118.0601
3543,ALERT,78.0635
3806,ALERT,137.4804
3551,ALERT,7.9721
3686,ALERT,191.006
3445,ALERT,12.5869
3929,ALERT,84.6773
3644,ALERT,130.755
3994,ALERT,72.0642
3767,ALERT,132.1758
3596,ALERT,95.2696
3729,ALERT,110.5859
3535,ALERT,35.5511
3563,ALERT,35.7266
3409,ALERT,198.2164
3638,ALERT,115.9477
3556,ALERT,110.5315
