workflow_id,api_name,start,end,latency,response_size
1,UserAuthAPI,1,92,91,1360
1,ProductCatalogAPI,93,204,111,1544
1,InventoryCheckAPI,205,319,114,1982
1,FraudDetectionAPI,322,385,63,630
1,PaymentGatewayAPI,380,421,41,843
1,ShippingServiceAPI,424,501,77,885
1,NotificationAPI,502,562,60,1684
2,UserAuthAPI,1,62,61,752
2,ProductCatalogAPI,64,152,88,974
2,InventoryCheckAPI,154,235,81,1999
2,FraudDetectionAPI,239,293,54,689
2,PaymentGatewayAPI,288,389,101,1062
2,ShippingServiceAPI,390,493,103,1654
2,NotificationAPI,496,542,46,520
3,UserAuthAPI,1,58,57,887
3,ProductCatalogAPI,62,115,53,741
3,InventoryCheckAPI,116,208,92,1397
3,FraudDetectionAPI,210,309,99,1978
3,PaymentGatewayAPI,311,358,47,534
3,ShippingServiceAPI,362,437,75,1911
3,NotificationAPI,438,483,45,1065
4,UserAuthAPI,1,94,93,1202
4,ProductCatalogAPI,97,180,83,661
4,InventoryCheckAPI,181,234,53,1315
4,FraudDetectionAPI,235,352,117,1775
4,PaymentGatewayAPI,347,426,79,1219
4,ShippingServiceAPI,429,521,92,1291
4,NotificationAPI,522,621,99,879
5,UserAuthAPI,1,69,68,514
5,ProductCatalogAPI,70,180,110,1020
5,InventoryCheckAPI,183,230,47,1995
5,FraudDetectionAPI,225,272,47,918
5,PaymentGatewayAPI,275,319,44,730
5,ShippingServiceAPI,321,388,67,634
5,NotificationAPI,391,442,51,1429
6,UserAuthAPI,1,63,62,1304
6,ProductCatalogAPI,66,140,74,1460
6,InventoryCheckAPI,141,227,86,1985
6,FraudDetectionAPI,230,274,44,1741
6,PaymentGatewayAPI,275,328,53,1370
6,ShippingServiceAPI,323,441,118,1538
6,NotificationAPI,442,558,116,1363
7,UserAuthAPI,1,92,91,1520
7,ProductCatalogAPI,94,156,62,730
7,InventoryCheckAPI,158,240,82,1040
7,FraudDetectionAPI,241,312,71,1766
7,PaymentGatewayAPI,313,418,105,1181
7,ShippingServiceAPI,421,517,96,1512
7,NotificationAPI,520,587,67,1863
8,UserAuthAPI,1,115,114,1871
8,ProductCatalogAPI,116,217,101,1748
8,InventoryCheckAPI,218,284,66,1132
8,FraudDetectionAPI,287,329,42,1882
8,PaymentGatewayAPI,330,396,66,1148
8,ShippingServiceAPI,398,488,90,1757
8,NotificationAPI,489,607,118,1897
9,UserAuthAPI,1,92,91,1636
9,ProductCatalogAPI,87,184,97,1063
9,InventoryCheckAPI,185,263,78,1909
9,FraudDetectionAPI,266,361,95,1604
9,PaymentGatewayAPI,362,403,41,1141
9,ShippingServiceAPI,405,445,40,1926
9,NotificationAPI,447,539,92,1229
10,UserAuthAPI,1,72,71,746
10,ProductCatalogAPI,74,188,114,1707
10,InventoryCheckAPI,189,266,77,779
10,FraudDetectionAPI,268,377,109,1481
10,PaymentGatewayAPI,379,434,55,1108
10,ShippingServiceAPI,435,533,98,1849
10,NotificationAPI,535,577,42,1159
11,UserAuthAPI,1,76,75,902
11,ProductCatalogAPI,79,137,58,1671
11,InventoryCheckAPI,139,230,91,988
11,FraudDetectionAPI,232,310,78,837
11,PaymentGatewayAPI,313,363,50,972
11,ShippingServiceAPI,364,434,70,1821
11,NotificationAPI,435,490,55,845
12,UserAuthAPI,1,100,99,1380
12,ProductCatalogAPI,101,188,87,753
12,InventoryCheckAPI,191,267,76,1683
12,FraudDetectionAPI,269,317,48,1756
12,PaymentGatewayAPI,318,405,87,707
12,ShippingServiceAPI,408,471,63,553
12,NotificationAPI,474,537,63,1127
13,UserAuthAPI,1,112,111,1943
13,ProductCatalogAPI,115,179,64,1413
13,InventoryCheckAPI,180,285,105,1321
13,FraudDetectionAPI,287,387,100,660
13,PaymentGatewayAPI,382,435,53,1800
13,ShippingServiceAPI,436,483,47,1658
13,NotificationAPI,486,558,72,1187
14,UserAuthAPI,1,62,61,1249
14,ProductCatalogAPI,64,154,90,937
14,InventoryCheckAPI,158,224,66,725
14,FraudDetectionAPI,225,292,67,1378
14,PaymentGatewayAPI,294,402,108,1519
14,ShippingServiceAPI,405,463,58,1046
14,NotificationAPI,466,522,56,1695
15,UserAuthAPI,1,86,85,1896
15,ProductCatalogAPI,89,165,76,779
15,InventoryCheckAPI,166,251,85,680
15,FraudDetectionAPI,253,352,99,1492
15,PaymentGatewayAPI,347,418,71,1684
15,ShippingServiceAPI,419,476,57,1065
15,NotificationAPI,478,563,85,1125
16,UserAuthAPI,1,63,62,1461
16,ProductCatalogAPI,64,105,41,1284
16,InventoryCheckAPI,108,156,48,745
16,FraudDetectionAPI,157,238,81,1258
16,PaymentGatewayAPI,240,329,89,1420
16,ShippingServiceAPI,331,430,99,1402
16,NotificationAPI,432,516,84,519
17,UserAuthAPI,1,56,55,1153
17,ProductCatalogAPI,59,113,54,1615
17,InventoryCheckAPI,115,186,71,1226
17,FraudDetectionAPI,188,278,90,1074
17,PaymentGatewayAPI,282,343,61,813
17,ShippingServiceAPI,346,434,88,1181
17,NotificationAPI,437,530,93,1502
18,UserAuthAPI,1,48,47,1576
18,ProductCatalogAPI,49,93,44,1626
18,InventoryCheckAPI,88,174,86,1366
18,FraudDetectionAPI,176,267,91,1155
18,PaymentGatewayAPI,271,340,69,1156
18,ShippingServiceAPI,341,399,58,1581
18,NotificationAPI,394,495,101,1290
19,UserAuthAPI,1,52,51,1512
19,ProductCatalogAPI,47,87,40,1301
19,InventoryCheckAPI,88,175,87,987
19,FraudDetectionAPI,179,219,40,1795
19,PaymentGatewayAPI,221,324,103,1970
19,ShippingServiceAPI,326,432,106,1599
19,NotificationAPI,434,524,90,1496
20,UserAuthAPI,1,69,68,1743
20,ProductCatalogAPI,64,165,101,1511
20,InventoryCheckAPI,166,221,55,717
20,FraudDetectionAPI,224,302,78,1812
20,PaymentGatewayAPI,304,366,62,1021
20,ShippingServiceAPI,370,443,73,1703
20,NotificationAPI,444,502,58,941
21,UserAuthAPI,1,109,108,1015
21,ProductCatalogAPI,111,230,119,757
21,InventoryCheckAPI,225,296,71,1998
21,FraudDetectionAPI,299,350,51,1189
21,PaymentGatewayAPI,352,424,72,1456
21,ShippingServiceAPI,426,477,51,1940
21,NotificationAPI,479,561,82,784
22,UserAuthAPI,1,86,85,1776
22,ProductCatalogAPI,81,155,74,1226
22,InventoryCheckAPI,150,197,47,1104
22,FraudDetectionAPI,200,273,73,614
22,PaymentGatewayAPI,274,381,107,1325
22,ShippingServiceAPI,383,497,114,912
22,NotificationAPI,492,552,60,1520
23,UserAuthAPI,1,50,49,956
23,ProductCatalogAPI,52,140,88,1622
23,InventoryCheckAPI,142,205,63,1162
23,FraudDetectionAPI,209,285,76,1892
23,PaymentGatewayAPI,287,349,62,716
23,ShippingServiceAPI,350,419,69,1796
23,NotificationAPI,421,473,52,1198
24,UserAuthAPI,1,52,51,944
24,ProductCatalogAPI,56,171,115,764
24,InventoryCheckAPI,172,289,117,1234
24,FraudDetectionAPI,293,348,55,1384
24,PaymentGatewayAPI,343,394,51,1548
24,ShippingServiceAPI,396,488,92,1674
24,NotificationAPI,491,569,78,608
25,UserAuthAPI,1,98,97,1434
25,ProductCatalogAPI,102,146,44,1686
25,InventoryCheckAPI,149,263,114,1157
25,FraudDetectionAPI,267,315,48,1597
25,PaymentGatewayAPI,318,374,56,1776
25,ShippingServiceAPI,377,462,85,1691
25,NotificationAPI,457,546,89,1294
26,UserAuthAPI,1,45,44,528
26,ProductCatalogAPI,40,87,47,1888
26,InventoryCheckAPI,88,144,56,1010
26,FraudDetectionAPI,148,232,84,1655
26,PaymentGatewayAPI,233,303,70,944
26,ShippingServiceAPI,304,382,78,590
